"Caeiro_1" "Caeiro_2" "Campos_1" "Campos_2" "Campos_3" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Reis_1"
"só" 0.541391869278472 0.59430716296528 0.40154192097655 0.244309379096651 0.304548580410649 0.593471810089021 0.513073507646769 0.547837996478184 0.501228501228501 0.485677470512439
"ao" 0.295304655970076 0.437910541132312 0.530035335689046 0.512453819568585 0.491207387759112 0.415430267062315 0.48347311297484 0.352181569164547 0.432432432432432 0.485677470512439
"minha" 0.57092233487548 0.578667500781983 0.449726951493736 0.494577523537123 0.432262501228018 0.425321463897132 0.335471139615195 0.547837996478184 0.55036855036855 0.118941421349985
"vida" 0.187026282114381 0.218955270566156 0.538066174108577 0.39327851269217 0.461734944493565 0.484668644906034 0.444005920078934 0.42066131872432 0.275184275184275 0.931707800574884
"quem" 0.433113495422778 0.172036284016265 0.208801798907806 0.274103205815755 0.343845171431378 0.682492581602374 0.542673902318698 0.655449031500685 0.638820638820639 0.515412825849936
"ou" 0.265774190373068 0.406631216765718 0.385480244137488 0.327732093910142 0.294724432655467 0.593471810089021 0.582141095214603 0.440226961455684 0.540540540540541 0.574883536524928
"nem" 0.344522098631755 0.703784798248358 0.337295213620302 0.214515552377547 0.353669319186561 0.514342235410485 0.503206709422792 0.469575425552729 0.471744471744472 0.664089602537417
"mais" 0.57092233487548 0.516108852048796 0.441696113074205 0.286020736503396 0.343845171431378 0.336300692383778 0.246669955599408 0.303267462336138 0.343980343980344 0.792942808999901
"nada" 0.305148144502412 0.218955270566156 0.192740122068744 0.23239184840901 0.402790057962472 0.474777448071217 0.700542673902319 0.518489532381139 0.432432432432432 0.654177817424918
"há" 0.364209075696427 0.359712230215827 0.345326052039833 0.220474317721368 0.471559092248747 0.4648862512364 0.56240749876665 0.440226961455684 0.432432432432432 0.15858856179998
"dos" 0.364209075696427 0.312793243665937 0.489881143591391 0.62567036110118 0.383141762452107 0.168150346191889 0.167735569807597 0.195656427313637 0.196560196560197 0.455942115174943
"alma" 0.157495816517374 0.156396621832968 0.345326052039833 0.286020736503396 0.284900284900285 0.4648862512364 0.641341884558461 0.469575425552729 0.530712530712531 0.168500346912479
"sei" 0.502017915149129 0.234594932749453 0.184709283649213 0.226433083065189 0.255427841634738 0.375865479723047 0.611741489886532 0.450009782821366 0.58968058968059 0.138764991574983
"das" 0.354365587164091 0.406631216765718 0.385480244137488 0.595876534382076 0.383141762452107 0.138476755687438 0.0888011840157869 0.283701819604774 0.167076167076167 0.327088908712459
"sou" 0.255930701840732 0.265874257116046 0.224863475746868 0.262185675128113 0.353669319186561 0.504451038575668 0.48347311297484 0.342398747798865 0.442260442260442 0.0792942808999901
"porque" 0.679200708731174 0.656865811698467 0.192740122068744 0.208556787033727 0.196482955103645 0.19782393669634 0.315737543167242 0.381530033261593 0.265356265356265 0.23788284269997
"à" 0.314991633034748 0.328432905849234 0.353356890459364 0.3158145632225 0.294724432655467 0.237388724035608 0.246669955599408 0.332615926433183 0.206388206388206 0.416294974724948
"nos" 0.275617678905404 0.203315608382859 0.184709283649213 0.280061971159576 0.157186364082916 0.187932739861523 0.226936359151455 0.15652514185091 0.196560196560197 1.09029636237486
"onde" 0.177182793582045 0.109477635283078 0.216832637327337 0.214515552377547 0.314372728165832 0.435212660731949 0.345337937839171 0.332615926433183 0.491400491400491 0.227971057587471
"ter" 0.383896052761099 0.234594932749453 0.256986829424992 0.160886664283161 0.334021023676196 0.356083086053412 0.394671928959053 0.26413617687341 0.353808353808354 0.109029636237486
"quando" 0.433113495422778 0.453550203315608 0.104400899453903 0.196639256346085 0.186658807348463 0.247279920870425 0.335471139615195 0.195656427313637 0.245700245700246 0.247794627812469
"todos" 0.187026282114381 0.125117297466375 0.730806296177321 0.351567155285425 0.461734944493565 0.0791295746785361 0.029600394671929 0.117393856388182 0.137592137592138 0.039647140449995
"são" 0.472487449552121 0.29715358148264 0.224863475746868 0.166845429626981 0.245603693879556 0.158259149357072 0.325604341391219 0.225004891410683 0.196560196560197 0.227971057587471
"eh" 0 0 0.024092515258593 1.41818615182934 0.127713920817369 0 0 0 0.0196560196560197 0
"coisa" 0.492174426616793 0.547388176415389 0.232894314166399 0.23835061375283 0.225955398369191 0.187932739861523 0.18746916625555 0.136959499119546 0.186732186732187 0.0594707106749926
"tenho" 0.236243724776061 0.312793243665937 0.32123353678124 0.23239184840901 0.275076137145103 0.178041543026706 0.276270350271337 0.254353355507728 0.206388206388206 0.039647140449995
"te" 0.255930701840732 0.0625586487331874 0.144555091551558 0.172804194970802 0.0982414775518224 0.187932739861523 0.167735569807597 0.459792604187048 0.255528255528256 0.465853900287442
